date,mine,nps_score,first_name,last_name,customer_observations
10-01-2024,PHU BIA,10,RHONDA,BONAT,"OUR SITE RELIES ON THE RADAR, SEISMIC SENSOR, LASER, GROUND MOVEMENT DETECTOR FEATURING DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS. WE'VE BENEFITED FROM THE REMOTE DIAGNOSTICS, MAINTENANCE SERVICE, ONSITE INSTALLATION, SUPPORT DESK, 24/7 MONITORING HAS BEEN RELIABLE. FRANKLY, ITÂ€™S TOP-NOTCH GEAR FOR A DANGEROUS JOB."
11-01-2024,VALE - AGUAS CLARAS MINE,9,BROOKE,VALENCIA JERI,"WE GOT THE RADAR, LASER THAT COMES WITH DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS, REAL-TIME ALERTS. WE'VE BENEFITED FROM THE SUPPORT DESK, ONSITE INSTALLATION, REMOTE DIAGNOSTICS, 24/7 MONITORING, MAINTENANCE SERVICE HAS BEEN RELIABLE. A DECENT BIT OF KIT, AND THE SUPPORT'S BEEN SPOT ON."
12-01-2024,HAIL CREEK COLLIERY,9,AARON,TWUM,"WE'RE USING THE RADAR DELIVERING PREDICTIVE ANALYTICS. THE REMOTE DIAGNOSTICS, SUPPORT DESK, ONSITE INSTALLATION, 24/7 MONITORING HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
13-01-2024,PARABURDOO,9,LATOYA,LOFSTEDT,"WE'RE USING THE GROUND MOVEMENT DETECTOR, LASER WHICH INCLUDES PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS. THE SUPPORT DESK, REMOTE DIAGNOSTICS, ONSITE INSTALLATION HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
14-01-2024,PT. KALTIM PRIMA COAL,9,SARAH,BASKORO,"WE'RE CURRENTLY TRIALING THE RADAR, SEISMIC SENSOR EQUIPPED WITH REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. WE'VE BENEFITED FROM THE MAINTENANCE SERVICE, ONSITE INSTALLATION HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
15-01-2024,YARA BRASIL,8,LAUREN,SARANART,"OUR SITE RELIES ON THE LASER, GROUND MOVEMENT DETECTOR, RADAR, SEISMIC SENSOR FEATURING REAL-TIME ALERTS. APPRECIATE THE ONSITE INSTALLATION, 24/7 MONITORING, MAINTENANCE SERVICE HAS BEEN RELIABLE. WE'RE QUITE CHUFFED WITH HOW EVERYTHINGÂ€™S WORKED SO FAR."
18-01-2024,PT ARUTMIN INDONESIA,10,JACOB,BONAT,"WE'RE USING THE RADAR, GROUND MOVEMENT DETECTOR, SEISMIC SENSOR, LASER EQUIPPED WITH PREDICTIVE ANALYTICS, REAL-TIME ALERTS. WE'RE PLEASED WITH THE 24/7 MONITORING HAS BEEN RELIABLE. FRANKLY, ITÂ€™S TOP-NOTCH GEAR FOR A DANGEROUS JOB."
18-01-2024,DMH,9,LISA,HOLCOMB,"THE TEAM DEPLOYED LASER, RADAR THAT COMES WITH PREDICTIVE ANALYTICS. THEIR ONSITE INSTALLATION, MAINTENANCE SERVICE HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
19-01-2024,ROLLESTON COLLIERY,9,DAVID,ARELLANO,"WE'VE INSTALLED GROUND MOVEMENT DETECTOR, LASER, RADAR THAT COMES WITH REAL-TIME ALERTS, PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD. WE'VE BENEFITED FROM THE MAINTENANCE SERVICE, SUPPORT DESK, 24/7 MONITORING, REMOTE DIAGNOSTICS, ONSITE INSTALLATION HAS BEEN RELIABLE. WE'RE QUITE CHUFFED WITH HOW EVERYTHINGÂ€™S WORKED SO FAR."
19-01-2024,LA SINO-CONGOLAISE DES MINES S.A. ??????????,10,KIMBERLY,MALESA,"WE GOT THE GROUND MOVEMENT DETECTOR FEATURING DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS, PREDICTIVE ANALYTICS. THE REMOTE DIAGNOSTICS, SUPPORT DESK, 24/7 MONITORING HAS BEEN RELIABLE. HONESTLY, COULDNÂ€™T ASK FOR BETTER UPTIME OR INSIGHT."
20-01-2024,GERDAU S/A - VARZEA DO LOPES,9,MANUEL,CARLTON,"WE'VE INSTALLED SEISMIC SENSOR, GROUND MOVEMENT DETECTOR, RADAR EQUIPPED WITH REAL-TIME ALERTS. SUPPORT FROM THE REMOTE DIAGNOSTICS, SUPPORT DESK, ONSITE INSTALLATION HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
22-01-2024,THABAZIMBI,9,COURTNEY,PALANI,"WE'RE USING THE RADAR, LASER EQUIPPED WITH DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. WE'VE BENEFITED FROM THE ONSITE INSTALLATION, REMOTE DIAGNOSTICS, MAINTENANCE SERVICE HAS BEEN RELIABLE. THIS HAS REALLY IMPROVED OUR CONFIDENCE IN SLOPE STABILITY."
23-01-2024,LA COLORADA MINE,7,BECKY,JARAMILLO,"THE TEAM DEPLOYED LASER FEATURING PREDICTIVE ANALYTICS. WE'VE BENEFITED FROM THE REMOTE DIAGNOSTICS, 24/7 MONITORING, MAINTENANCE SERVICE, ONSITE INSTALLATION, SUPPORT DESK HAS BEEN RELIABLE. FRANKLY, ITÂ€™S TOP-NOTCH GEAR FOR A DANGEROUS JOB."
23-01-2024,EL SALVADOR,9,STEPHANIE,GARCIA ESPINOZA,"THE TEAM DEPLOYED RADAR PROVIDING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. THE 24/7 MONITORING, REMOTE DIAGNOSTICS, ONSITE INSTALLATION, MAINTENANCE SERVICE HAS BEEN RELIABLE. MUY SATISFECHOS CON EL SERVICIO RECIBIDO HASTA AHORA."
25-01-2024,HOPE DOWNS IRON ORE OPERATION,8,MATTHEW,DUARTE,"THE TEAM DEPLOYED RADAR, GROUND MOVEMENT DETECTOR, SEISMIC SENSOR, LASER WHICH INCLUDES PREDICTIVE ANALYTICS, REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD. APPRECIATE THE SUPPORT DESK, 24/7 MONITORING, MAINTENANCE SERVICE, REMOTE DIAGNOSTICS, ONSITE INSTALLATION HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
25-01-2024,ROLLESTON COLLIERY,9,NICHOLAS,P. LOZADA,"WE'VE INSTALLED RADAR, LASER, GROUND MOVEMENT DETECTOR, SEISMIC SENSOR PROVIDING PREDICTIVE ANALYTICS, REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD. WE'VE BENEFITED FROM THE SUPPORT DESK, REMOTE DIAGNOSTICS, MAINTENANCE SERVICE, ONSITE INSTALLATION, 24/7 MONITORING HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
25-01-2024,PARABURDOO,9,WILLIAM,SNYDERS,"WE GOT THE SEISMIC SENSOR, RADAR, GROUND MOVEMENT DETECTOR, LASER WHICH INCLUDES REAL-TIME ALERTS. THEIR SUPPORT DESK, ONSITE INSTALLATION, REMOTE DIAGNOSTICS HAS BEEN RELIABLE. MUY SATISFECHOS CON EL SERVICIO RECIBIDO HASTA AHORA."
26-01-2024,CANADIAN MALARTIC,10,AMBER,WANG,"WE'RE USING THE GROUND MOVEMENT DETECTOR FEATURING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD. SUPPORT FROM THE SUPPORT DESK, ONSITE INSTALLATION, REMOTE DIAGNOSTICS, 24/7 MONITORING, MAINTENANCE SERVICE HAS BEEN RELIABLE. BLOODY BRILLIANT SUPPORT, IF I MAY SAY SO."
28-01-2024,ANTUCOYA,8,JASON,INOSTROZA,"WE GOT THE LASER WHICH INCLUDES REAL-TIME ALERTS. THE MAINTENANCE SERVICE, ONSITE INSTALLATION HAS BEEN RELIABLE. HONESTLY, COULDNÂ€™T ASK FOR BETTER UPTIME OR INSIGHT."
28-01-2024,DIAVIK DIAMOND MINE - SURFACE OPS,6,KATHY,ALOR ROMERO,"WE'RE USING THE LASER, SEISMIC SENSOR, RADAR, GROUND MOVEMENT DETECTOR EQUIPPED WITH DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. APPRECIATE THE SUPPORT DESK, MAINTENANCE SERVICE, 24/7 MONITORING, REMOTE DIAGNOSTICS HAS BEEN RELIABLE. WE'RE QUITE CHUFFED WITH HOW EVERYTHINGÂ€™S WORKED SO FAR."
30-01-2024,ROSSING URANIUM MINE,8,NICOLE,TSHIZA,"WE'VE INSTALLED RADAR, SEISMIC SENSOR, GROUND MOVEMENT DETECTOR, LASER PROVIDING DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS, REAL-TIME ALERTS. APPRECIATE THE REMOTE DIAGNOSTICS, 24/7 MONITORING, SUPPORT DESK, MAINTENANCE SERVICE, ONSITE INSTALLATION HAS BEEN RELIABLE. HONESTLY, COULDNÂ€™T ASK FOR BETTER UPTIME OR INSIGHT."
30-01-2024,MEADOWBANK MINE,7,STEPHANIE,TAO,"WE'VE INSTALLED RADAR, LASER DELIVERING PREDICTIVE ANALYTICS, REAL-TIME ALERTS. APPRECIATE THE 24/7 MONITORING, MAINTENANCE SERVICE HAS BEEN RELIABLE. THIS HAS REALLY IMPROVED OUR CONFIDENCE IN SLOPE STABILITY."
31-01-2024,SAVAGE RIVER,8,DEBRA,ORDOÑEZ,"THE TEAM DEPLOYED RADAR FEATURING REAL-TIME ALERTS, PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD. SUPPORT FROM THE MAINTENANCE SERVICE, SUPPORT DESK, REMOTE DIAGNOSTICS, 24/7 MONITORING, ONSITE INSTALLATION HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
31-01-2024,RADOMIRO TOMIC,7,MORGAN,RESTREPO,"OUR SITE RELIES ON THE SEISMIC SENSOR EQUIPPED WITH REAL-TIME ALERTS. WE'VE BENEFITED FROM THE MAINTENANCE SERVICE, ONSITE INSTALLATION, 24/7 MONITORING, SUPPORT DESK HAS BEEN RELIABLE. THIS HAS REALLY IMPROVED OUR CONFIDENCE IN SLOPE STABILITY."
02-02-2024,LA COLORADA MINE,10,CHARLES,SIAME,"WE'RE USING THE SEISMIC SENSOR, RADAR, GROUND MOVEMENT DETECTOR THAT COMES WITH REAL-TIME ALERTS, PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD. THEIR SUPPORT DESK, 24/7 MONITORING, REMOTE DIAGNOSTICS, ONSITE INSTALLATION, MAINTENANCE SERVICE HAS BEEN RELIABLE. THEREÂ€™S BEEN A MARKED IMPROVEMENT IN SITE SAFETY."
02-02-2024,EKATI DIAMOND MINE,9,KAREN,NUGRAHA,"WE'VE INSTALLED LASER, SEISMIC SENSOR WHICH INCLUDES DATA VISUALIZATION DASHBOARD. APPRECIATE THE MAINTENANCE SERVICE, 24/7 MONITORING, REMOTE DIAGNOSTICS, SUPPORT DESK, ONSITE INSTALLATION HAS BEEN RELIABLE. THIS HAS REALLY IMPROVED OUR CONFIDENCE IN SLOPE STABILITY."
03-02-2024,DAWSON,10,ANDREW,LYTLE,"WE'VE INSTALLED LASER, RADAR WHICH INCLUDES REAL-TIME ALERTS. WE'RE PLEASED WITH THE ONSITE INSTALLATION, REMOTE DIAGNOSTICS, MAINTENANCE SERVICE HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
03-02-2024,VALE GONGO SOCO,9,ROBIN,PAYNE,"WE'VE INSTALLED SEISMIC SENSOR, LASER, GROUND MOVEMENT DETECTOR DELIVERING DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. THE SUPPORT DESK, REMOTE DIAGNOSTICS, MAINTENANCE SERVICE, ONSITE INSTALLATION, 24/7 MONITORING HAS BEEN RELIABLE. FRANKLY, ITÂ€™S TOP-NOTCH GEAR FOR A DANGEROUS JOB."
03-02-2024,PARABURDOO,8,WENDY,BRITO SCHNEIDER,"OUR SITE RELIES ON THE SEISMIC SENSOR, LASER DELIVERING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. THE ONSITE INSTALLATION, MAINTENANCE SERVICE HAS BEEN RELIABLE. THEREÂ€™S BEEN A MARKED IMPROVEMENT IN SITE SAFETY."
04-02-2024,SAN FRANCISCO MINE,10,ABIGAIL,RODRIGUES,"THE TEAM DEPLOYED SEISMIC SENSOR, LASER EQUIPPED WITH DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS, PREDICTIVE ANALYTICS. WE'VE BENEFITED FROM THE REMOTE DIAGNOSTICS, MAINTENANCE SERVICE, ONSITE INSTALLATION, 24/7 MONITORING HAS BEEN RELIABLE. WE'RE QUITE CHUFFED WITH HOW EVERYTHINGÂ€™S WORKED SO FAR."
04-02-2024,THABAZIMBI ARCELOR MITTAL,9,JOHN,NUNOO,"THE TEAM DEPLOYED GROUND MOVEMENT DETECTOR, LASER, RADAR, SEISMIC SENSOR PROVIDING DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS. SUPPORT FROM THE 24/7 MONITORING, SUPPORT DESK, MAINTENANCE SERVICE, REMOTE DIAGNOSTICS, ONSITE INSTALLATION HAS BEEN RELIABLE. THIS HAS REALLY IMPROVED OUR CONFIDENCE IN SLOPE STABILITY."
04-02-2024,STEEL RESOURCES ENTERPRISES,9,JOSE,EVANS,"I WORKED WITH GIBRALTAR MINE PREVIOUSLY BUT LEFT A YEAR AND A HALF AGO AND THE COMPANY I'M WORKING NOW DON'T USE GP. BASING FROM MY EXPERIENCE WITH THEM, THE SYSTEM WORKS AS PROMISED AND THE SERVICES OR SUPPORT WERE GOOD AS WELL."
06-02-2024,ANGLOAMERICAN - SERRA DO SAPO,9,KAITLIN,OLIVA,"WE'RE USING THE LASER, RADAR, SEISMIC SENSOR, GROUND MOVEMENT DETECTOR EQUIPPED WITH PREDICTIVE ANALYTICS. SUPPORT FROM THE ONSITE INSTALLATION, MAINTENANCE SERVICE HAS BEEN RELIABLE. MUY SATISFECHOS CON EL SERVICIO RECIBIDO HASTA AHORA."
06-02-2024,CENTINELA,7,TRAVIS,NUGRAHA,"WE'RE CURRENTLY TRIALING THE RADAR PROVIDING PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD. THE ONSITE INSTALLATION, SUPPORT DESK HAS BEEN RELIABLE. MUY SATISFECHOS CON EL SERVICIO RECIBIDO HASTA AHORA."
09-02-2024,ANGLOAMERICAN - SERRA DO SAPO,9,CHRISTOPHER,XIAOQIAN,"WE GOT THE RADAR, LASER, SEISMIC SENSOR WHICH INCLUDES DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS, REAL-TIME ALERTS. WE'VE BENEFITED FROM THE MAINTENANCE SERVICE, 24/7 MONITORING, REMOTE DIAGNOSTICS HAS BEEN RELIABLE. THEREÂ€™S BEEN A MARKED IMPROVEMENT IN SITE SAFETY."
09-02-2024,ASARCO MISSION,9,LISA,PETER,"WE GOT THE SEISMIC SENSOR EQUIPPED WITH REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. APPRECIATE THE 24/7 MONITORING, MAINTENANCE SERVICE, REMOTE DIAGNOSTICS HAS BEEN RELIABLE. HONESTLY, COULDNÂ€™T ASK FOR BETTER UPTIME OR INSIGHT."
12-02-2024,SEMIRARA MINING CORPORATION,8,BRANDON,SALEM,"THE TEAM DEPLOYED LASER, GROUND MOVEMENT DETECTOR DELIVERING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. WE'RE PLEASED WITH THE SUPPORT DESK, 24/7 MONITORING, REMOTE DIAGNOSTICS HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
12-02-2024,KOLOMELA IRON ORE MINE,7,SCOTT,FERNANDO PAIVA SILVA,"OUR SITE RELIES ON THE LASER PROVIDING REAL-TIME ALERTS. WE'RE PLEASED WITH THE ONSITE INSTALLATION, REMOTE DIAGNOSTICS, 24/7 MONITORING, SUPPORT DESK, MAINTENANCE SERVICE HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
13-02-2024,EL SALVADOR,8,CHRISTINE,NUGRAHA,"WE'VE INSTALLED SEISMIC SENSOR, GROUND MOVEMENT DETECTOR, RADAR, LASER DELIVERING REAL-TIME ALERTS, PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD. THE REMOTE DIAGNOSTICS, ONSITE INSTALLATION, MAINTENANCE SERVICE, 24/7 MONITORING HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
13-02-2024,VALE AGUA LIMPA,10,TONI,WHITE,"WE GOT THE LASER, RADAR, GROUND MOVEMENT DETECTOR FEATURING REAL-TIME ALERTS, PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD. THEIR MAINTENANCE SERVICE, ONSITE INSTALLATION, SUPPORT DESK, REMOTE DIAGNOSTICS, 24/7 MONITORING HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
13-02-2024,SUMMIT METALS PLC,10,EMILY,GILMORE,THEY PROVIDE VERY GOOD SUPPORT AND THE TECHNOLOGY IS VERY EFFECTIVE AND HELPFUL IN MINING OPERATIONS THAT'S WHY WE PURCHASED ANOTHER EQUIPMENT.
15-02-2024,COLLINSVILLE COLLIERY,8,WESLEY,CONTRERAS,"THE TEAM DEPLOYED LASER, SEISMIC SENSOR, GROUND MOVEMENT DETECTOR, RADAR DELIVERING DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS. WE'VE BENEFITED FROM THE SUPPORT DESK, ONSITE INSTALLATION HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
16-02-2024,EKATI DIAMOND MINE,6,ASHLEY,RESTREPO,"WE'RE CURRENTLY TRIALING THE LASER, SEISMIC SENSOR, RADAR, GROUND MOVEMENT DETECTOR EQUIPPED WITH PREDICTIVE ANALYTICS, REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD. SUPPORT FROM THE REMOTE DIAGNOSTICS HAS BEEN RELIABLE. MUY SATISFECHOS CON EL SERVICIO RECIBIDO HASTA AHORA."
16-02-2024,THABAZIMBI ARCELOR MITTAL,8,MARY,LU,"WE'RE USING THE SEISMIC SENSOR, LASER, RADAR, GROUND MOVEMENT DETECTOR THAT COMES WITH PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS. THE SUPPORT DESK, MAINTENANCE SERVICE, 24/7 MONITORING, REMOTE DIAGNOSTICS HAS BEEN RELIABLE. MUY SATISFECHOS CON EL SERVICIO RECIBIDO HASTA AHORA."
16-02-2024,COLLINSVILLE COLLIERY,10,SHARON,WIRATNO,"WE'RE USING THE RADAR DELIVERING DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS, REAL-TIME ALERTS. SUPPORT FROM THE MAINTENANCE SERVICE, ONSITE INSTALLATION, SUPPORT DESK HAS BEEN RELIABLE. A DECENT BIT OF KIT, AND THE SUPPORT'S BEEN SPOT ON."
16-02-2024,VALE GONGO SOCO,9,SUSAN,ZAYETTE,"OUR SITE RELIES ON THE LASER, SEISMIC SENSOR, GROUND MOVEMENT DETECTOR DELIVERING DATA VISUALIZATION DASHBOARD. SUPPORT FROM THE SUPPORT DESK, REMOTE DIAGNOSTICS, MAINTENANCE SERVICE, 24/7 MONITORING, ONSITE INSTALLATION HAS BEEN RELIABLE. THEREÂ€™S BEEN A MARKED IMPROVEMENT IN SITE SAFETY."
19-02-2024,KOURA GROUP LAS CUEVAS MINE,6,JACOB,PRETORIUS,"WE'VE INSTALLED LASER PROVIDING PREDICTIVE ANALYTICS, REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD. APPRECIATE THE SUPPORT DESK, MAINTENANCE SERVICE HAS BEEN RELIABLE. MUY SATISFECHOS CON EL SERVICIO RECIBIDO HASTA AHORA."
19-02-2024,BLACK MOUNTAIN GAMSBERG,8,JEFFREY,ZHANG,"WE'RE USING THE RADAR, LASER, GROUND MOVEMENT DETECTOR DELIVERING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. WE'VE BENEFITED FROM THE MAINTENANCE SERVICE HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
19-02-2024,TENKE FUNGURUME,9,ROBERT,GUNAWAN,"WE'RE USING THE RADAR, LASER PROVIDING DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS, PREDICTIVE ANALYTICS. THE REMOTE DIAGNOSTICS, ONSITE INSTALLATION, MAINTENANCE SERVICE, 24/7 MONITORING, SUPPORT DESK HAS BEEN RELIABLE. BLOODY BRILLIANT SUPPORT, IF I MAY SAY SO."
20-02-2024,CANDELARIA,9,BRIAN,SMIT,"OUR SITE RELIES ON THE SEISMIC SENSOR, LASER, RADAR PROVIDING REAL-TIME ALERTS, PREDICTIVE ANALYTICS. THEIR SUPPORT DESK, REMOTE DIAGNOSTICS, ONSITE INSTALLATION HAS BEEN RELIABLE. HONESTLY, COULDNÂ€™T ASK FOR BETTER UPTIME OR INSIGHT."
20-02-2024,BLACK MOUNTAIN GAMSBERG,9,JESSICA,HAKKINEN,"OUR SITE RELIES ON THE GROUND MOVEMENT DETECTOR, RADAR WHICH INCLUDES PREDICTIVE ANALYTICS, REAL-TIME ALERTS. THEIR REMOTE DIAGNOSTICS, SUPPORT DESK, 24/7 MONITORING, MAINTENANCE SERVICE, ONSITE INSTALLATION HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
20-02-2024,PT ARUTMIN INDONESIA,9,MATTHEW,IRELAND,"WE'RE CURRENTLY TRIALING THE RADAR DELIVERING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD. SUPPORT FROM THE 24/7 MONITORING, REMOTE DIAGNOSTICS HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
